xflr5 v6.61

Plane Name
T1-10.0 m/s-Panel-Inviscid
QInf  =,   10.000000 ,m/s
Alpha = ,   0.000000
Beta  = ,   0.000�
Phi   = ,   0.000�
Ctrl  = ,   0.000
CL    = ,   0.179632
Cy    = ,   0.000000
Cd=,   0.001218,ICd=,    0.001218,PCd=,    0.000000
Cl   = ,3.40334e-16
Cm   =,   -0.255542
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    3.172853, YCP=,   -0.000000, ZCP=,    0.523769 
XNP=,    0.000000
Bending =,  732.501332

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -8.7949,   0.9833,-20.348, 0.029289, 0.000000, 0.010863,-0.351288,-0.027654, 0.0000, 0.0000, 0.6819, 0.0000
   -8.7905,   0.9843, -4.788, 0.043512, 0.000000, 0.003645,-0.376481,-0.031039, 0.0000, 0.0000, 0.6766, 0.0000
   -8.7816,   0.9865, -3.477, 0.059743, 0.000000, 0.003630,-0.391972,-0.032046, 0.0000, 0.0000, 0.6523, 0.0002
   -8.7683,   0.9897, -2.952, 0.075325, 0.000000, 0.003884,-0.428595,-0.035016, 0.0000, 0.0000, 0.6455, 0.0010
   -8.7506,   0.9940, -2.583, 0.089749, 0.000000, 0.004049,-0.471050,-0.038676, 0.0000, 0.0000, 0.6436, 0.0034
   -8.7285,   0.9993, -2.266, 0.102828, 0.000000, 0.004070,-0.513351,-0.042323, 0.0000, 0.0000, 0.6416, 0.0089
   -8.7021,   1.0057, -1.984, 0.114542, 0.000000, 0.003968,-0.552697,-0.045669, 0.0000, 0.0000, 0.6385, 0.0196
   -8.6712,   1.0132, -1.735, 0.124961, 0.000000, 0.003785,-0.587774,-0.048612, 0.0000, 0.0000, 0.6345, 0.0384
   -8.6359,   1.0217, -1.519, 0.134201, 0.000000, 0.003558,-0.618170,-0.051151, 0.0000, 0.0000, 0.6299, 0.0692
   -8.5963,   1.0312, -1.334, 0.142394, 0.000000, 0.003316,-0.643933,-0.053324, 0.0000, 0.0000, 0.6251, 0.1165
