xflr5 v6.61

Plane Name
T1-10.0 m/s-Panel-Inviscid
QInf  =,   10.000000 ,m/s
Alpha = ,   0.000000
Beta  = ,   0.000�
Phi   = ,   0.000�
Ctrl  = ,   0.000
CL    = ,   0.162409
Cy    = ,  -0.000000
Cd=,   0.000982,ICd=,    0.000982,PCd=,    0.000000
Cl   = ,8.69072e-18
Cm   =,   -0.234844
ICn=,    0.000000,PCn=,    0.000000
XCP=,    3.226106, YCP=,   -0.000000, ZCP=,    0.549161 
XNP=,    0.000000
Bending =,  630.439659

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -8.7873,   0.9851, -3.406, 0.054917, 0.000000, 0.003269,-0.353443,-0.028799, 0.0000, 0.0000, 0.6468, 0.0000
   -8.7526,   0.9935, -2.315, 0.088690, 0.000000, 0.003586,-0.480922,-0.041414, 0.0000, 0.0000, 0.6659, 0.0020
   -8.6834,   1.0102, -1.600, 0.116149, 0.000000, 0.003244,-0.562878,-0.047757, 0.0000, 0.0000, 0.6472, 0.0260
   -8.5799,   1.0352, -1.106, 0.136015, 0.000000, 0.002626,-0.621973,-0.052547, 0.0000, 0.0000, 0.6311, 0.1276
   -8.4426,   1.0684, -0.797, 0.150301, 0.000000, 0.002091,-0.654395,-0.055743, 0.0000, 0.0000, 0.6173, 0.4085
   -8.2719,   1.1096, -0.607, 0.160607, 0.000000, 0.001701,-0.663763,-0.057875, 0.0000, 0.0000, 0.6065, 1.0224
   -8.0686,   1.1587, -0.486, 0.167919, 0.000000, 0.001425,-0.654557,-0.059308, 0.0000, 0.0000, 0.5988, 2.1788
   -7.8334,   1.2155, -0.406, 0.172895, 0.000000, 0.001226,-0.631341,-0.060263, 0.0000, 0.0000, 0.5938, 4.1457
   -7.5674,   1.2798, -0.352, 0.176042, 0.000000, 0.001082,-0.598427,-0.060891, 0.0000, 0.0000, 0.5909, 7.2502
   -7.2714,   1.3513, -0.316, 0.177766, 0.000000, 0.000981,-0.559475,-0.061298, 0.0000, 0.0000, 0.5898,11.8787
   -6.9468,   1.4297, -0.293, 0.178393, 0.000000, 0.000912,-0.517371,-0.061561, 0.0000, 0.0000, 0.5900,18.4740
   -6.5947,   1.5148, -0.279, 0.178162, 0.000000, 0.000867,-0.474236,-0.061723, 0.0000, 0.0000, 0.5914,27.5323
   -6.2166,   1.6061, -0.272, 0.177269, 0.000000, 0.000841,-0.431596,-0.061822, 0.0000, 0.0000, 0.5938,39.5970
   -5.8140,   1.7034, -0.270, 0.175845, 0.000000, 0.000830,-0.390459,-0.061878, 0.0000, 0.0000, 0.5971,55.2518
   -5.3885,   1.8062, -0.273, 0.173984, 0.000000, 0.000829,-0.351458,-0.061906, 0.0000, 0.0000, 0.6012,75.1100
   -4.9416,   1.9142, -0.279, 0.171753, 0.000000, 0.000837,-0.314959,-0.061914, 0.0000, 0.0000, 0.6060,99.8028
   -4.4753,   2.0268, -0.288, 0.169189, 0.000000, 0.000850,-0.281139,-0.061906, 0.0000, 0.0000, 0.6117,129.9647
   -3.9913,   2.1437, -0.298, 0.166312, 0.000000, 0.000866,-0.250039,-0.061889, 0.0000, 0.0000, 0.6182,166.2161
   -3.4916,   2.2645, -0.311, 0.163132, 0.000000, 0.000886,-0.221636,-0.061868, 0.0000, 0.0000, 0.6256,209.1450
   -2.9781,   2.3885, -0.325, 0.159635, 0.000000, 0.000905,-0.195836,-0.061846, 0.0000, 0.0000, 0.6342,259.2868
   -2.4528,   2.5154, -0.339, 0.155800, 0.000000, 0.000923,-0.172530,-0.061830, 0.0000, 0.0000, 0.6440,317.1021
   -1.9178,   2.6447, -0.354, 0.151579, 0.000000, 0.000938,-0.151596,-0.061832, 0.0000, 0.0000, 0.6555,382.9548
   -1.3753,   2.7757, -0.368, 0.146887, 0.000000, 0.000945,-0.132924,-0.061868, 0.0000, 0.0000, 0.6691,457.0895
   -0.8274,   2.9081, -0.376, 0.141547, 0.000000, 0.000931,-0.116450,-0.061961, 0.0000, 0.0000, 0.6851,539.6073
   -0.2762,   3.0413, -0.339, 0.134973, 0.000000, 0.000802,-0.102341,-0.062308, 0.0000, 0.0000, 0.7042,630.4397
    0.2762,   3.0413, -0.339, 0.134973, 0.000000, 0.000802,-0.102341,-0.062308, 0.0000, 0.0000, 0.7042,630.4397
    0.8274,   2.9081, -0.376, 0.141547, 0.000000, 0.000931,-0.116450,-0.061961, 0.0000, 0.0000, 0.6851,539.6073
    1.3753,   2.7757, -0.368, 0.146887, 0.000000, 0.000945,-0.132924,-0.061868, 0.0000, 0.0000, 0.6691,457.0895
    1.9178,   2.6447, -0.354, 0.151579, 0.000000, 0.000938,-0.151596,-0.061832, 0.0000, 0.0000, 0.6555,382.9548
    2.4528,   2.5154, -0.339, 0.155800, 0.000000, 0.000923,-0.172530,-0.061830, 0.0000, 0.0000, 0.6440,317.1021
    2.9781,   2.3885, -0.325, 0.159635, 0.000000, 0.000905,-0.195836,-0.061846, 0.0000, 0.0000, 0.6342,259.2868
    3.4916,   2.2645, -0.311, 0.163132, 0.000000, 0.000886,-0.221636,-0.061868, 0.0000, 0.0000, 0.6256,209.1450
    3.9913,   2.1437, -0.298, 0.166312, 0.000000, 0.000866,-0.250039,-0.061889, 0.0000, 0.0000, 0.6182,166.2161
    4.4753,   2.0268, -0.288, 0.169189, 0.000000, 0.000850,-0.281139,-0.061906, 0.0000, 0.0000, 0.6117,129.9647
    4.9416,   1.9142, -0.279, 0.171753, 0.000000, 0.000837,-0.314959,-0.061914, 0.0000, 0.0000, 0.6060,99.8028
    5.3885,   1.8062, -0.273, 0.173984, 0.000000, 0.000829,-0.351458,-0.061906, 0.0000, 0.0000, 0.6012,75.1100
    5.8140,   1.7034, -0.270, 0.175845, 0.000000, 0.000830,-0.390459,-0.061878, 0.0000, 0.0000, 0.5971,55.2518
    6.2166,   1.6061, -0.272, 0.177269, 0.000000, 0.000841,-0.431596,-0.061822, 0.0000, 0.0000, 0.5938,39.5970
    6.5947,   1.5148, -0.279, 0.178162, 0.000000, 0.000867,-0.474236,-0.061723, 0.0000, 0.0000, 0.5914,27.5323
    6.9468,   1.4297, -0.293, 0.178393, 0.000000, 0.000912,-0.517371,-0.061561, 0.0000, 0.0000, 0.5900,18.4740
    7.2714,   1.3513, -0.316, 0.177766, 0.000000, 0.000981,-0.559475,-0.061298, 0.0000, 0.0000, 0.5898,11.8787
    7.5674,   1.2798, -0.352, 0.176042, 0.000000, 0.001082,-0.598427,-0.060891, 0.0000, 0.0000, 0.5909, 7.2502
    7.8334,   1.2155, -0.406, 0.172895, 0.000000, 0.001226,-0.631341,-0.060263, 0.0000, 0.0000, 0.5938, 4.1457
    8.0686,   1.1587, -0.486, 0.167919, 0.000000, 0.001425,-0.654557,-0.059308, 0.0000, 0.0000, 0.5988, 2.1788
    8.2719,   1.1096, -0.607, 0.160607, 0.000000, 0.001701,-0.663763,-0.057875, 0.0000, 0.0000, 0.6065, 1.0224
    8.4426,   1.0684, -0.797, 0.150301, 0.000000, 0.002091,-0.654395,-0.055743, 0.0000, 0.0000, 0.6173, 0.4085
    8.5799,   1.0352, -1.106, 0.136015, 0.000000, 0.002626,-0.621973,-0.052547, 0.0000, 0.0000, 0.6311, 0.1276
