xflr5 v6.61

Plane Name
T1-10.0 m/s-Panel-Inviscid
QInf  =,   10.000000 ,m/s
Alpha = ,   1.000000
Beta  = ,   0.000�
Phi   = ,   0.000�
Ctrl  = ,   0.000
CL    = ,   0.246318
Cy    = ,  -0.000000
Cd=,   0.002239,ICd=,    0.002239,PCd=,    0.000000
Cl   = ,-6.16061e-17
Cm   =,   -0.325093
ICn=,    0.000000,PCn=,    0.000000
XCP=,    2.936486, YCP=,    0.000000, ZCP=,    0.457640 
XNP=,    0.000000
Bending =,  956.566667

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -8.7873,   0.9851, -3.984, 0.075567, 0.000000, 0.005263,-0.488934,-0.027286, 0.0000, 0.0000, 0.5119, 0.0000
   -8.7526,   0.9935, -2.733, 0.123377, 0.000000, 0.005890,-0.659439,-0.039637, 0.0000, 0.0000, 0.5301, 0.0028
   -8.6834,   1.0102, -1.991, 0.164804, 0.000000, 0.005729,-0.779239,-0.043977, 0.0000, 0.0000, 0.5046, 0.0361
   -8.5799,   1.0352, -1.465, 0.196927, 0.000000, 0.005037,-0.877707,-0.048596, 0.0000, 0.0000, 0.4906, 0.1791
   -8.4426,   1.0684, -1.120, 0.221311, 0.000000, 0.004327,-0.939414,-0.052301, 0.0000, 0.0000, 0.4812, 0.5806
   -8.2719,   1.1096, -0.893, 0.239491, 0.000000, 0.003734,-0.964738,-0.055118, 0.0000, 0.0000, 0.4750, 1.4693
   -8.0686,   1.1587, -0.738, 0.252619, 0.000000, 0.003255,-0.958925,-0.057190, 0.0000, 0.0000, 0.4710, 3.1618
   -7.8334,   1.2155, -0.629, 0.261653, 0.000000, 0.002871,-0.928973,-0.058657, 0.0000, 0.0000, 0.4686, 6.0662
   -7.5674,   1.2798, -0.551, 0.267444, 0.000000, 0.002571,-0.882044,-0.059661, 0.0000, 0.0000, 0.4673,10.6829
   -7.2714,   1.3513, -0.497, 0.270720, 0.000000, 0.002346,-0.824364,-0.060331, 0.0000, 0.0000, 0.4671,17.6036
   -6.9468,   1.4297, -0.461, 0.272070, 0.000000, 0.002187,-0.760859,-0.060773, 0.0000, 0.0000, 0.4676,27.5071
   -6.5947,   1.5148, -0.438, 0.271934, 0.000000, 0.002078,-0.695155,-0.061055, 0.0000, 0.0000, 0.4687,41.1538
