xflr5 v6.61

Plane Name
T1-10.0 m/s-Panel-Inviscid
QInf  =,   10.000000 ,m/s
Alpha = ,  12.000000
Beta  = ,   0.000�
Phi   = ,   0.000�
Ctrl  = ,   0.000
CL    = ,   1.144914
Cy    = ,  -0.000000
Cd=,   0.046933,ICd=,    0.046933,PCd=,    0.000000
Cl   = ,-2.93821e-16
Cm   =,    -1.29629
ICn=,    0.000000,PCn=,    0.000000
XCP=,    2.482578, YCP=,    0.000000, ZCP=,    0.329745 
XNP=,    0.000000
Bending =, 4389.979767

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -8.7873,   0.9851,-10.146, 0.292551, 0.000000, 0.052351,-1.642797, 0.016442, 0.0000, 0.0000, 0.2074, 0.0000
   -8.7526,   0.9935, -7.217, 0.487990, 0.000000, 0.061770,-2.377848,-0.000729, 0.0000, 0.0000, 0.2497, 0.0109
   -8.6834,   1.0102, -6.206, 0.676578, 0.000000, 0.073537,-3.018098, 0.007778, 0.0000, 0.0000, 0.2352, 0.1420
   -8.5799,   1.0352, -5.348, 0.837981, 0.000000, 0.078389,-3.595980, 0.001362, 0.0000, 0.0000, 0.2449, 0.7211
   -8.4426,   1.0684, -4.620, 0.968962, 0.000000, 0.078223,-4.000594,-0.009357, 0.0000, 0.0000, 0.2563, 2.3900
   -8.2719,   1.1096, -4.001, 1.070288, 0.000000, 0.074779,-4.212095,-0.020273, 0.0000, 0.0000, 0.2657, 6.1708
   -8.0686,   1.1587, -3.478, 1.144833, 0.000000, 0.069482,-4.250256,-0.029610, 0.0000, 0.0000, 0.2726,13.5075
   -7.8334,   1.2155, -3.048, 1.196714, 0.000000, 0.063599,-4.151154,-0.036805, 0.0000, 0.0000, 0.2774,26.2838
   -7.5674,   1.2798, -2.710, 1.230415, 0.000000, 0.058101,-3.954194,-0.041994, 0.0000, 0.0000, 0.2808,46.8252
   -7.2714,   1.3513, -2.458, 1.250054, 0.000000, 0.053524,-3.694166,-0.045598, 0.0000, 0.0000, 0.2831,77.8877
   -6.9468,   1.4297, -2.283, 1.259010, 0.000000, 0.050044,-3.398567,-0.048055, 0.0000, 0.0000, 0.2847,122.6371
   -6.5947,   1.5148, -2.170, 1.259843, 0.000000, 0.047574,-3.087659,-0.049704, 0.0000, 0.0000, 0.2860,184.6169
   -6.2166,   1.6061, -2.108, 1.254466, 0.000000, 0.045993,-2.775613,-0.050809, 0.0000, 0.0000, 0.2870,267.7033
   -5.8140,   1.7034, -2.086, 1.244215, 0.000000, 0.045110,-2.471863,-0.051543, 0.0000, 0.0000, 0.2879,376.0461
   -5.3885,   1.8062, -2.094, 1.230013, 0.000000, 0.044753,-2.182369,-0.052029, 0.0000, 0.0000, 0.2887,513.9931
   -4.9416,   1.9142, -2.126, 1.212479, 0.000000, 0.044768,-1.910646,-0.052357, 0.0000, 0.0000, 0.2896,685.9976
   -4.4753,   2.0268, -2.176, 1.191998, 0.000000, 0.045025,-1.658585,-0.052577, 0.0000, 0.0000, 0.2904,896.5090
   -3.9913,   2.1437, -2.239, 1.168767, 0.000000, 0.045386,-1.426850,-0.052757, 0.0000, 0.0000, 0.2914,1149.8484
   -3.4916,   2.2645, -2.310, 1.142855, 0.000000, 0.045738,-1.215427,-0.052970, 0.0000, 0.0000, 0.2926,1450.0686
   -2.9781,   2.3885, -2.382, 1.114191, 0.000000, 0.045937,-1.023877,-0.053318, 0.0000, 0.0000, 0.2940,1800.8052
   -2.4528,   2.5154, -2.450, 1.082585, 0.000000, 0.045816,-0.851595,-0.053977, 0.0000, 0.0000, 0.2960,2205.1175
   -1.9178,   2.6447, -2.503, 1.047700, 0.000000, 0.045135,-0.697984,-0.055308, 0.0000, 0.0000, 0.2988,2665.3263
   -1.3753,   2.7757, -2.521, 1.008944, 0.000000, 0.043506,-0.562838,-0.058008, 0.0000, 0.0000, 0.3034,3182.8504
   -0.8274,   2.9081, -2.472, 0.964806, 0.000000, 0.040112,-0.446885,-0.063579, 0.0000, 0.0000, 0.3114,3758.0408
