xflr5 v6.61

Plane Name
T1-10.0 m/s-Panel-Inviscid
QInf  =,   10.000000 ,m/s
Alpha = ,  14.000000
Beta  = ,   0.000�
Phi   = ,   0.000�
Ctrl  = ,   0.000
CL    = ,   1.300581
Cy    = ,  -0.000000
Cd=,   0.060210,ICd=,    0.060210,PCd=,    0.000000
Cl   = ,-1.27034e-16
Cm   =,     -1.4621
ICn=,    0.000000,PCn=,    0.000000
XCP=,    2.463007, YCP=,    0.000000, ZCP=,    0.327399 
XNP=,    0.000000
Bending =, 4960.862915

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -8.7873,   0.9851,-11.213, 0.328543, 0.000000, 0.065123,-1.778637, 0.029427, 0.0000, 0.0000, 0.1804, 0.0000
   -8.7526,   0.9935, -8.001, 0.548500, 0.000000, 0.077057,-2.630489, 0.009890, 0.0000, 0.0000, 0.2320, 0.0122
   -8.6834,   1.0102, -6.947, 0.761577, 0.000000, 0.092736,-3.382356, 0.018843, 0.0000, 0.0000, 0.2222, 0.1595
   -8.5799,   1.0352, -6.033, 0.944528, 0.000000, 0.099736,-4.053287, 0.011389, 0.0000, 0.0000, 0.2347, 0.8111
   -8.4426,   1.0684, -5.238, 1.093291, 0.000000, 0.100129,-4.522028,-0.000838, 0.0000, 0.0000, 0.2477, 2.6905
   -8.2719,   1.1096, -4.552, 1.208492, 0.000000, 0.096080,-4.768224,-0.013285, 0.0000, 0.0000, 0.2580, 6.9521
   -8.0686,   1.1587, -3.964, 1.293288, 0.000000, 0.089468,-4.815392,-0.023938, 0.0000, 0.0000, 0.2655,15.2271
   -7.8334,   1.2155, -3.477, 1.352319, 0.000000, 0.081991,-4.705156,-0.032155, 0.0000, 0.0000, 0.2708,29.6452
   -7.5674,   1.2798, -3.093, 1.390675, 0.000000, 0.074948,-4.482740,-0.038087, 0.0000, 0.0000, 0.2744,52.8354
   -7.2714,   1.3513, -2.807, 1.413040, 0.000000, 0.069061,-4.188001,-0.042213, 0.0000, 0.0000, 0.2768,87.9142
   -6.9468,   1.4297, -2.607, 1.423260, 0.000000, 0.064573,-3.852416,-0.045030, 0.0000, 0.0000, 0.2785,138.4611
   -6.5947,   1.5148, -2.478, 1.424247, 0.000000, 0.061382,-3.499177,-0.046928, 0.0000, 0.0000, 0.2798,208.4829
   -6.2166,   1.6061, -2.407, 1.418177, 0.000000, 0.059333,-3.144491,-0.048205, 0.0000, 0.0000, 0.2808,302.3622
   -5.8140,   1.7034, -2.381, 1.406569, 0.000000, 0.058183,-2.799156,-0.049061, 0.0000, 0.0000, 0.2817,424.7907
