xflr5 v6.61

Plane Name
T1-10.0 m/s-Panel-Inviscid
QInf  =,   10.000000 ,m/s
Alpha = ,  17.000000
Beta  = ,   0.000�
Phi   = ,   0.000�
Ctrl  = ,   0.000
CL    = ,   1.527891
Cy    = ,  -0.000000
Cd=,   0.082274,ICd=,    0.082274,PCd=,    0.000000
Cl   = ,1.82318e-16
Cm   =,    -1.70048
ICn=,    0.000000,PCn=,    0.000000
XCP=,    2.438045, YCP=,   -0.000000, ZCP=,    0.325664 
XNP=,    0.000000
Bending =, 5772.036516

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -8.7873,   0.9851,-12.774, 0.379631, 0.000000, 0.086048,-1.935852, 0.051529, 0.0000, 0.0000, 0.1398, 0.0000
   -8.7526,   0.9935, -9.152, 0.634405, 0.000000, 0.102149,-2.968324, 0.027632, 0.0000, 0.0000, 0.2081, 0.0141
   -8.6834,   1.0102, -8.038, 0.882293, 0.000000, 0.124488,-3.894817, 0.036136, 0.0000, 0.0000, 0.2061, 0.1845
   -8.5799,   1.0352, -7.043, 1.095893, 0.000000, 0.135247,-4.706486, 0.026736, 0.0000, 0.0000, 0.2226, 0.9389
   -8.4426,   1.0684, -6.152, 1.269960, 0.000000, 0.136709,-5.270890, 0.012148, 0.0000, 0.0000, 0.2377, 3.1174
   -8.2719,   1.1096, -5.366, 1.404911, 0.000000, 0.131729,-5.568776,-0.002590, 0.0000, 0.0000, 0.2493, 8.0618
   -8.0686,   1.1587, -4.683, 1.504296, 0.000000, 0.122960,-5.629824,-0.015185, 0.0000, 0.0000, 0.2576,17.6702
   -7.8334,   1.2155, -4.113, 1.573502, 0.000000, 0.112831,-5.504000,-0.024899, 0.0000, 0.0000, 0.2633,34.4213
   -7.5674,   1.2798, -3.661, 1.618482, 0.000000, 0.103204,-5.245087,-0.031917, 0.0000, 0.0000, 0.2672,61.3759
   -7.2714,   1.3513, -3.323, 1.644726, 0.000000, 0.095121,-4.900348,-0.036805, 0.0000, 0.0000, 0.2698,102.1627
   -6.9468,   1.4297, -3.087, 1.656740, 0.000000, 0.088938,-4.507055,-0.040151, 0.0000, 0.0000, 0.2716,160.9497
   -6.5947,   1.5148, -2.934, 1.657943, 0.000000, 0.084533,-4.092669,-0.042415, 0.0000, 0.0000, 0.2729,242.4019
   -6.2166,   1.6061, -2.850, 1.650881, 0.000000, 0.081695,-3.676361,-0.043950, 0.0000, 0.0000, 0.2739,351.6220
   -5.8140,   1.7034, -2.819, 1.637333, 0.000000, 0.080091,-3.270919,-0.044989, 0.0000, 0.0000, 0.2747,494.0717
   -5.3885,   1.8062, -2.830, 1.618529, 0.000000, 0.079416,-2.884410,-0.045700, 0.0000, 0.0000, 0.2754,675.4722
   -4.9416,   1.9142, -2.872, 1.595286, 0.000000, 0.079394,-2.521609,-0.046201, 0.0000, 0.0000, 0.2761,901.6817
